epoch,train_loss
0,2.492568349465728
1,2.4668742809444666
2,2.2309052143245935
3,2.174436530098319
4,2.1093814950436354
5,2.116887212730944
6,1.9556894935667515
7,1.86738505307585
8,1.8230136018246412
9,1.7697798972949386
10,1.752892479300499
11,1.670252344571054
12,1.6221369737759233
13,1.5835602711886168
14,1.5454647094011307
15,1.547563148662448
16,1.4917929554358125
17,1.529538649134338
18,1.478865728713572
19,1.4299228768795729
20,1.4144856566563249
21,1.3872344819828868
22,1.3735396582633257
23,1.336540105752647
24,1.352493142709136
