epoch,train_loss
0,2.372838521376252
1,2.2351417541503906
2,2.1796760205179453
3,1.9780576415359974
4,1.9616434443742037
5,1.873812010511756
6,1.7264237739145756
7,1.7387104518711567
8,1.7214340027421713
9,1.638470010831952
10,1.6052063442766666
11,1.5153747806325555
12,1.4933894481509924
13,1.4527289848774672
14,1.4162458525970578
15,1.4067078400403261
16,1.3778761457651854
17,1.3056764975190163
18,1.2783187627792358
19,1.2625979939475656
20,1.2968773683533072
21,1.2421189518645406
22,1.2273220084607601
23,1.235514129512012
24,1.1863774517551064
