epoch,train_loss
0,3.034952349960804
1,2.8902352452278137
2,2.8267902731895447
3,2.755203105509281
4,2.688503548502922
5,2.61782755702734
6,2.5498636588454247
7,2.4737639650702477
8,2.447376638650894
9,2.3893687203526497
10,2.309569388628006
11,2.2568732500076294
12,2.1910029649734497
13,2.1511008888483047
14,2.0748604759573936
15,2.0598200485110283
16,2.03679121658206
17,1.9430035911500454
18,1.884266186505556
19,1.9131502993404865
20,1.8466941229999065
21,1.8038889206945896
22,1.797922007739544
23,1.7870380580425262
24,1.7044842019677162
