epoch,train_loss
0,3.8593986313790083
1,3.5954845808446407
2,3.4962685257196426
3,3.232197819277644
4,3.099908860400319
5,2.9408865775913
6,2.809751683846116
7,2.6622862312942743
8,2.6470620706677437
9,2.512662397697568
10,2.4884178917855024
11,2.31660941708833
12,2.2469905158504844
13,2.254221625626087
14,2.16207208763808
15,2.088468407280743
16,2.030015502125025
17,2.119151403196156
18,2.014743504114449
19,1.989928781054914
20,1.8405365403741598
21,1.744066022336483
22,1.8645711289718747
23,1.8181199878454208
24,1.8621741430833936
