epoch,train_loss
0,3.8085911255329847
1,3.5546678118407726
2,3.4725059270858765
3,3.336576545611024
4,3.112681096419692
5,2.9878356754779816
6,3.006495473906398
7,2.7881745006889105
8,2.7318889293819666
9,2.7334322836250067
10,2.5656933933496475
11,2.5509882336482406
12,2.3930884627625346
13,2.364451832138002
14,2.3619464682415128
15,2.3603065852075815
16,2.2856767922639847
17,2.2301728734746575
18,2.1728576440364122
19,2.1843484370037913
20,2.137290423735976
21,2.0931790824979544
22,2.111511887051165
23,2.082549387589097
24,2.118393326178193
