epoch,train_loss
0,2.6532263942062855
1,2.5438128486275673
2,2.4155503548681736
3,2.4019060656428337
4,2.2927124463021755
5,2.257923413068056
6,2.1972715072333813
7,2.164203502237797
8,2.107666254043579
9,2.10736683011055
10,1.9864482022821903
11,1.9959531351923943
12,1.9270207695662975
13,1.8483083099126816
14,1.7874873131513596
15,1.8309900015592575
16,1.7564714774489403
17,1.719219345599413
18,1.7592242136597633
19,1.6688880398869514
20,1.5835386030375957
21,1.5710136983543634
22,1.5611533299088478
23,1.5711130313575268
24,1.4604129772633314
