epoch,train_loss
0,3.0706177726387978
1,2.979294128715992
2,2.962493911385536
3,2.87370715290308
4,2.7735568955540657
5,2.7771841809153557
6,2.6346625946462154
7,2.547422956675291
8,2.486566200852394
9,2.5124265775084496
10,2.405742447823286
11,2.4339869245886803
12,2.3099837601184845
13,2.342504296451807
14,2.3111693412065506
15,2.2290534041821957
16,2.160831965506077
17,2.088597074151039
18,2.1223931200802326
19,2.0131824780255556
20,2.0454625636339188
21,2.05518427118659
22,1.999076783657074
23,1.971311029046774
24,1.9197050891816616
