epoch,train_loss
0,2.810739904642105
1,2.714463457465172
2,2.526150494813919
3,2.541274815797806
4,2.4409565813839436
5,2.3474702276289463
6,2.2426256611943245
7,2.2147371545434
8,2.2329866774380207
9,2.0985766611993313
10,2.026518080383539
11,2.0030688904225826
12,1.9104109928011894
13,1.8646753542125225
14,1.8159403055906296
15,1.7880951054394245
16,1.746320566162467
17,1.731124859303236
18,1.6630231868475676
19,1.6567002199590206
20,1.6471792161464691
21,1.5958841517567635
22,1.5706496555358171
23,1.5442924108356237
24,1.512756872922182
