epoch,train_loss
0,2.1749189272522926
1,2.2072842121124268
2,2.0940506141632795
3,2.0405759178102016
4,1.9275982957333326
5,1.8708878383040428
6,1.8045626785606146
7,1.8661672249436378
8,1.7592648826539516
9,1.7557849530130625
10,1.6371065881103277
11,1.615535093471408
12,1.575106030330062
13,1.556511789560318
14,1.576262578368187
15,1.4880839250981808
16,1.4958253372460604
17,1.4634962510317564
18,1.4189368318766356
19,1.377921061590314
20,1.348637642338872
21,1.3495080526918173
22,1.3212707079946995
23,1.272378284484148
24,1.2293321415781975
