epoch,train_loss
0,2.835202047601342
1,2.6688118297606707
2,2.5915817581117153
3,2.480233395472169
4,2.373970126733184
5,2.2378362342715263
6,2.1731477174907923
7,2.0983465425670147
8,2.032752649858594
9,1.9712822772562504
10,1.9819574765861034
11,1.8756001442670822
12,1.8762349542230368
13,1.8829187005758286
14,1.7784937107935548
15,1.7398333009332418
16,1.7225934080779552
17,1.7002884354442358
18,1.6916694650426507
19,1.6020462242886424
20,1.6143736513331532
21,1.6220892267301679
22,1.6455053761601448
23,1.547416863963008
24,1.5580843156203628
