epoch,train_loss
0,2.4399460293352604
1,2.3889033533632755
2,2.2609231024980545
3,2.2572274394333363
4,2.14290788769722
5,2.0308103896677494
6,1.9593430701643229
7,1.9477989803999662
8,1.860513223335147
9,1.801525892689824
10,1.7256955597549677
11,1.7638873681426048
12,1.6883860528469086
13,1.664988748729229
14,1.6690674163401127
15,1.5884710755199194
16,1.568860663101077
17,1.543465020135045
18,1.495141314342618
19,1.5142907239496708
20,1.4594521094113588
21,1.420423036441207
22,1.4126194715499878
23,1.3861082457005978
24,1.3850579336285591
