epoch,train_loss
0,2.272259531542659
1,2.1620611678808928
2,2.02451429143548
3,2.051916640251875
4,1.9103477019816637
5,1.876120800152421
6,1.7788420617580414
7,1.6963331624865532
8,1.6901987381279469
9,1.657026806846261
10,1.6137728821486235
11,1.5419260207563639
12,1.4817800913006067
13,1.5364202968776226
14,1.4784687291830778
15,1.4385925382375717
16,1.3990563210099936
17,1.3476182781159878
18,1.3626354802399874
19,1.317290666513145
20,1.2954462710767984
21,1.2763980086892843
22,1.2561558363959193
23,1.258127805776894
24,1.2367842383682728
