epoch,train_loss
0,3.2320335414260626
1,2.975411258637905
2,2.8295435272157192
3,2.7878471314907074
4,2.7067000903189182
5,2.5050030844286084
6,2.4916688334196806
7,2.3117839507758617
8,2.351968767121434
9,2.2543319556862116
10,2.1440470162779093
11,2.132117699831724
12,2.0946961361914873
13,2.041028181090951
14,2.0164338909089565
15,1.977676604874432
16,1.9081355035305023
17,1.8864335771650076
18,1.8615238964557648
19,1.7934806533157825
20,1.7612206153571606
21,1.7597358478233218
22,1.7487759264186025
23,1.6954036140814424
24,1.7125251833349466
