epoch,train_loss
0,2.3546297568827868
1,2.205190198495984
2,2.0963801126927137
3,2.012982092797756
4,1.9965668506920338
5,1.9061155021190643
6,1.880694653838873
7,1.8034964483231306
8,1.7370394617319107
9,1.710623774677515
10,1.6725520323961973
11,1.579500725492835
12,1.5703637637197971
13,1.593350837007165
14,1.5443384628742933
15,1.5250576976686716
16,1.4525505769997835
17,1.4069356098771095
18,1.4076852668076754
19,1.3731494266539812
20,1.383722748607397
21,1.3599749095737934
22,1.2915145847946405
23,1.2730485582724214
24,1.2816013470292091
