epoch,train_loss
0,2.3111793287098408
1,2.245176497846842
2,2.1046844590455294
3,2.0772113241255283
4,1.9884584210813046
5,1.94665508531034
6,1.8333081379532814
7,1.8351534102112055
8,1.776064170524478
9,1.7267022132873535
10,1.6974060535430908
11,1.6556407194584608
12,1.6370264366269112
13,1.607951793819666
14,1.5636633038520813
15,1.505666621029377
16,1.5118538085371256
17,1.5137284621596336
18,1.437245348468423
19,1.4137138295918703
20,1.3708271365612745
21,1.379987558349967
22,1.3140481896698475
23,1.3601115960627794
24,1.2955949436873198
